Transaction_ID,Date,Customer_ID,Product_Category,Product_Name,Price,Quantity,Payment_Status,Return_ID,Original_Tx_ID,Return_Date,Refund_Amount,Status,Clean_Tx_ID,Is_Returned,Extracted_Order_ID,Issue_Category,Month_Day
100236.0,2023-11-24,C0012,Electronics,Smartphone Z,919.2,1,Paid,,,,,,,0,,Nav sūdzību,2023-11-24
100061.0,2023-11-17,C0002,Electronics,Laptop X,1598.23,1,Paid,,,,,,,0,,Nav sūdzību,2023-11-17
101131.0,2023-12-14,C0008,Smart Home,NordPlug,23.86,1,Paid,,,,,,,0,101131.0,Produkta brāķis,2023-12-14
100391.0,,C0001,Smart Home,NordTherm,101.68,1,Paid,,,,,,,0,,Nav sūdzību,NaT
100319.0,2023-11-27,C0004,Accessories,Phone Case,35.72,1,Paid,,,,,,,0,,Nav sūdzību,2023-11-27
100889.0,2023-12-09,C0001,Electronics,NoiseCancel Headphones,230.36,1,Paid,,,,,,,0,,Nav sūdzību,2023-12-09
100105.0,2023-11-19,C0056,Smart Home,NordCam Mini,82.4,1,Paid,,,,,,,0,,Nav sūdzību,2023-11-19
100603.0,2023-12-04,C0002,Electronics,Laptop X,1771.94,1,Paid,,,,,,,0,,Nav sūdzību,2023-12-04
101189.0,2023-11-28,C0001,Smart Home,NordLock Pro,210.88,1,Paid,,,,,,,0,,Nav sūdzību,2023-11-28
100563.0,2023-12-03,C0008,Electronics,Smartphone Z,855.14,1,Paid,R000001,Ref: 100563,2023-12-15,855.14,Processed,100563.0,1,,Nav sūdzību,2023-12-03
100366.0,2023-11-28,C0004,Electronics,Smartphone Z,1024.64,1,Paid,,,,,,,0,,Nav sūdzību,2023-11-28
100996.0,2023-12-12,C0003,Smart Home,NordLock Pro,222.61,1,Paid,,,,,,,0,,Nav sūdzību,2023-12-12
100043.0,,C0002,Electronics,TV Pro,1164.3,1,Paid,,,,,,,0,,Nav sūdzību,NaT
100725.0,2023-12-06,C0003,Accessories,Laptop Sleeve,27.13,2,Paid,,,,,,,0,,Nav sūdzību,2023-12-06
100456.0,2023-11-30,C0001,Smart Home,NordTherm,105.45,1,Paid,,,,,,,0,,Nav sūdzību,2023-11-30
100537.0,2023-12-02,C0030,Electronics,NoiseCancel Headphones,290.46,1,Paid,,,,,,,0,100537.0,Piegāde,2023-12-02
101176.0,2023-11-24,C0017,Accessories,Phone Case,34.84,1,Paid,,,,,,,0,,Nav sūdzību,2023-11-24
101058.0,2023-12-13,C0001,Electronics,Laptop X,1504.82,1,Paid,,,,,,,0,,Nav sūdzību,2023-12-13
100032.0,2023-11-16,C0094,Electronics,Laptop X,1585.05,1,Paid,,,,,,,0,,Nav sūdzību,2023-11-16
100455.0,2023-11-30,C0117,Smart Home,NordLock Pro,205.04,2,Paid,,,,,,,0,100455.0,Cits,2023-11-30
100354.0,2023-11-28,C0002,Smart Home,NordLock Pro,201.09,1,Paid,,,,,,,0,,Nav sūdzību,2023-11-28
101181.0,,C0006,Accessories,Accessory Bundle,27.11,1,Paid,,,,,,,0,,Nav sūdzību,NaT
100062.0,,C0001,Smart Home,NordLock Pro,221.97,1,Paid,,,,,,,0,,Nav sūdzību,NaT
100858.0,,C0001,Electronics,TV Pro,1060.25,1,Failed,,,,,,,0,,Nav sūdzību,NaT
101049.0,2023-12-13,C0001,Electronics,NoiseCancel Headphones,288.0,1,Paid,,,,,,,0,,Nav sūdzību,2023-12-13
100686.0,2023-12-05,C0059,Electronics,Tablet A,753.9,1,Paid,,,,,,,0,100686.0,Produkta brāķis,2023-12-05
100233.0,,C0278,Electronics,TV Pro,1041.16,1,Paid,,,,,,,0,,Nav sūdzību,NaT
100094.0,2023-11-18,C0076,Accessories,Charger,28.32,3,Paid,,,,,,,0,,Nav sūdzību,2023-11-18
100215.0,,C0063,Electronics,Smartphone Z,1077.99,1,Paid,,,,,,,0,,Nav sūdzību,NaT
100310.0,2023-11-26,C0002,Electronics,TV Pro,1601.36,1,Paid,,,,,,,0,,Nav sūdzību,2023-11-26
100202.0,2023-11-23,C0002,Smart Home,NordLock Pro,186.48,1,Pending,,,,,,,0,,Nav sūdzību,2023-11-23
100290.0,2023-11-25,C0002,Accessories,Phone Case,12.32,1,Paid,,,,,,,0,,Nav sūdzību,2023-11-25
100737.0,2023-12-06,C0015,Electronics,Tablet A,672.16,1,Paid,,,,,,,0,,Nav sūdzību,2023-12-06
100318.0,2023-11-27,C0005,Electronics,Smartphone Z,727.66,1,Paid,,,,,,,0,,Nav sūdzību,2023-11-27
101141.0,,C0038,Accessories,Accessory Bundle,55.24,3,Paid,,,,,,,0,,Nav sūdzību,NaT
100891.0,2023-12-09,C0008,Smart Home,NordLock Pro,212.31,2,Paid,,,,,,,0,,Nav sūdzību,2023-12-09
101188.0,2023-12-10,C0062,Accessories,Wireless Mouse,32.09,1,Paid,,,,,,,0,,Nav sūdzību,2023-12-10
